+--------------+------------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+---------------+---------------+
|  Drop State  |     Expected Value     | Dice Sum = 2 | Dice Sum = 3 | Dice Sum = 4 | Dice Sum = 5 | Dice Sum = 6 | Dice Sum = 7 | Dice Sum = 8 | Dice Sum = 9 | Dice Sum = 10 | Dice Sum = 11 | Dice Sum = 12 |
+--------------+------------------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+---------------+---------------+
| 111111111111 |  0.002862476362015572  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |       10      |       11      |       12      |
| 111111111110 |  0.013144174695922701  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |       10      |       11      |      1 11     |
| 111111111101 |  0.00649780240567222   |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |       10      |      1 10     |       12      |
| 111111111100 |  0.03175664958647035   |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |       10      |      1 10     |      2 10     |
| 111111111011 |  0.004168841799788485  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |      1 9      |       11      |       12      |
| 111111111010 |  0.021306154543338174  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |      1 9      |       11      |      1 11     |
| 111111111001 |  0.009857309002568067  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |      1 9      |      2 9      |       12      |
| 111111111000 |  0.053488289198939505  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |      9       |      1 9      |      2 9      |      3 9      |
| 111111110111 | 0.0030114501714346787  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |       10      |       11      |       12      |
| 111111110110 |  0.01554547645665733   |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |       10      |       11      |      1 11     |
| 111111110101 | 0.0075209260482634755  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |       10      |      1 10     |       12      |
| 111111110100 |  0.04168413842835511   |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |       10      |      1 10     |      2 10     |
| 111111110011 |  0.004524299371534641  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |      2 8      |       11      |       12      |
| 111111110010 |  0.026640487865208128  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |      2 8      |       11      |      1 11     |
| 111111110001 |  0.011386715364438884  |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |      2 8      |      3 8      |       12      |
| 111111110000 |  0.07036951749073116   |      2       |      3       |      4       |      5       |      6       |      7       |      8       |     1 8      |      2 8      |      3 8      |      4 8      |
| 111111101111 |  0.002378452849292333  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |      9       |       10      |       11      |       12      |
| 111111101110 |  0.012273714043003849  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |      9       |       10      |       11      |      1 11     |
| 111111101101 |  0.005963975357192783  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |      9       |       10      |      1 10     |       12      |
| 111111101100 |  0.03298226338296293   |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |      9       |       10      |      1 10     |      2 10     |
| 111111101011 |  0.003720284972566372  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |      9       |      1 9      |       11      |       12      |
| 111111101010 |  0.021586051815653973  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |      9       |      1 9      |       11      |      1 11     |
| 111111101001 |  0.009691110004520945  |      2       |      3       |      4       |      5       |      6       |      7       |     1 7      |      9       |      1 9      |      2 9      |       12      |
| 111111101000 |  0.060193617202646515  |      2       |      3       |      4       |      5       |      6       |      7       |     1 7      |      9       |      1 9      |      2 9      |      3 9      |
| 111111100111 | 0.0025511842048331294  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |     2 7      |       10      |       11      |       12      |
| 111111100110 |  0.015156799459315959  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |     3 6      |       10      |       11      |      1 11     |
| 111111100101 |  0.007123327919585289  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |     2 7      |       10      |      1 10     |       12      |
| 111111100100 |  0.04516859879553892   |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |     3 6      |       10      |      1 10     |      2 10     |
| 111111100011 |  0.003942855439485738  |      2       |      3       |      4       |      5       |      6       |      7       |     1 7      |     2 7      |      3 7      |       11      |       12      |
| 111111100010 |  0.027299424637251987  |      2       |      3       |      4       |      5       |      6       |      7       |     3 5      |     2 7      |      3 7      |       11      |      1 11     |
| 111111100001 |  0.010702969063416726  |      2       |      3       |      4       |      5       |      6       |      7       |     1 7      |     2 7      |      3 7      |      4 7      |       12      |
| 111111100000 |  0.07546032016312723   |      2       |      3       |      4       |      5       |      6       |      7       |     1 7      |     2 7      |      3 7      |      4 7      |      5 7      |
| 111111011111 |  0.002046228186762917  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |       10      |       11      |       12      |
| 111111011110 |  0.010508890981399094  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |       10      |       11      |      1 11     |
| 111111011101 | 0.0051175385694274544  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |       10      |      1 10     |       12      |
| 111111011100 |  0.028137260316660678  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |       10      |      1 10     |      2 10     |
| 111111011011 | 0.0032139399127324463  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |      1 9      |       11      |       12      |
| 111111011010 |  0.018544059484437485  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |      1 9      |       11      |      1 11     |
| 111111011001 |  0.008355282630323266  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |      9       |      1 9      |      2 9      |       12      |
| 111111011000 |  0.05150343081635721   |      2       |      3       |      4       |      5       |      6       |     2 5      |      8       |      9       |      1 9      |      2 9      |      3 9      |
| 111111010111 |  0.002265939114638943  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |     1 8      |       10      |       11      |       12      |
| 111111010110 |  0.01322387874552592   |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |     1 8      |       10      |       11      |      1 11     |
| 111111010101 | 0.0062719639221556845  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |     1 8      |       10      |      1 10     |       12      |
| 111111010100 |  0.03970511592758532   |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |     1 8      |       10      |      1 10     |      2 10     |
| 111111010011 | 0.0036136381262767228  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |     1 8      |      2 8      |       11      |       12      |
| 111111010010 |  0.024367962040157478  |      2       |      3       |      4       |      5       |      6       |     3 4      |      8       |     1 8      |      2 8      |       11      |      1 11     |
| 111111010001 |   0.0100115227546981   |      2       |      3       |      4       |      5       |      6       |     1 6      |      8       |     1 8      |      2 8      |      3 8      |       12      |
| 111111010000 |   0.0706496287922836   |      2       |      3       |      4       |      5       |      6       |     1 6      |      8       |     1 8      |      2 8      |      3 8      |      4 8      |
| 111111001111 |  0.00171142326190115   |      2       |      3       |      4       |      5       |      6       |     3 4      |     2 6      |      9       |       10      |       11      |       12      |
| 111111001110 |  0.010058641537149178  |      2       |      3       |      4       |      5       |      6       |     3 4      |     2 6      |      9       |       10      |       11      |      1 11     |
| 111111001101 |  0.004775004344353109  |      2       |      3       |      4       |      5       |      6       |     3 4      |     3 5      |      9       |       10      |      1 10     |       12      |
| 111111001100 |  0.03011746967796048   |      2       |      3       |      4       |      5       |      6       |     3 4      |     3 5      |      9       |       10      |      1 10     |      2 10     |
| 111111001011 |   0.0029086321558452   |      2       |      3       |      4       |      5       |      6       |     3 4      |     2 6      |      9       |      1 9      |       11      |       12      |
| 111111001010 |  0.019373768016463726  |      2       |      3       |      4       |      5       |      6       |     3 4      |     2 6      |      9       |      1 9      |       11      |      1 11     |
